"Nome";"Entidade";"Status";"Fabricante";"Número de série";"Tipo";"Modelo";"Localização";"Sistema operacional - Nome";"Componentes - Processador";"Componentes - Memória";"Componentes - Tamanho de disco rígido";"Última atualização";"Data de criação";
"SEDERS-MS78W33W";"RioSaudeSEDE";"Reserva";"Positivo";"5A378W33W";"MiniPC";"POSITIVO MASTER C6400 MINI PRO ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i3-12100t   2.20 GHz";"8 GB";"500 GB";"2025-12-19 16:45";"2023-12-01 14:13";
"SEDERS-MS7K00N1";"RioSaudeSEDE";"Reserva";"Lenovo";"8SSM10A45376A1DG57K00N1";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-08-08 14:48";"2023-12-29 11:59";
"SEDERS-MS807N20";"RioSaudeSEDE";"Em uso";"Positivo";"5A3807N20";"MiniPC";"POSITIVO MASTER C6400 MINI PRO ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i3-12100t   2.20 GHz";"8 GB";"500 GB";"2025-07-23 12:08";"2023-12-14 09:24";
"SEDERS-MSM9RKF2";"RioSaudeSEDE";"Reserva";"DELL";"CM9RKF2";"Desktop";"DELL OPTIPLEX 3040";"DGOVI";"Windows 10 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"500 GB";"2025-05-12 13:38";"2023-11-23 17:13";
"SEDERS-MSMBLKF2";"RioSaudeSEDE";"Reserva";"DELL";"CMBLKF2";"Desktop";"DELL OPTIPLEX 3040";"DGOVI";"Windows 10 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"500 GB";"2025-05-12 13:41";"2023-12-05 15:27";
"SEDERS-MSMGLKF2";"RioSaudeSEDE";"Reserva";"DELL";"CMGLKF2";"Desktop";"DELL OPTIPLEX 3040";"DGOVI";"Windows 10 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"500 GB";"2025-05-16 17:12";"2023-11-29 13:37";
"SEDERS-MSN0TKF2";"RioSaudeSEDE";"Reserva";"DELL";"CN0TKF2";"Desktop";"DELL OPTIPLEX 3040";"DGOVI";"Windows 10 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"500 GB";"2025-05-12 13:39";"2023-12-06 15:26";
"SEDERS-MSN2MKF2";"RioSaudeSEDE";"Reserva";"DELL";"CN2MKF2";"Desktop";"DELL OPTIPLEX 3040";"DGOVI";"Windows 10 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"320 GB";"2026-01-16 11:17";"2023-12-06 11:57";
"SEDERS-MSQCNF22";"RioSaudeSEDE";"Reserva";"DELL";"FQCNF22";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"8 GB";"500 GB";"2025-10-20 15:15";"2023-12-14 09:29";
"SEDERS-MSQWWZX1";"RioSaudeSEDE";"Reserva";"DELL";"JQWWZX1";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"8 GB";"500 GB";"2025-05-22 13:00";"2024-03-18 15:34";
"SEDERS-MSSTGCD2";"RioSaudeSEDE";"Reserva";"DELL";"GSTGCD2";"Desktop";"DELL OPTIPLEX 3040";"DGOVI";"Windows 10 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"500 GB";"2026-01-16 11:16";"2023-12-05 14:46";
"SEDERS-MSSXCCD2";"RioSaudeSEDE";"Reserva";"DELL";"GSXCCD2";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"";"";"";"2025-11-03 11:09";"2024-06-21 01:59";
"SEDERS-MSSZXL22";"RioSaudeSEDE";"Reserva";"DELL";"HSZXL22";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"8 GB";"500 GB";"2025-06-24 15:57";"2023-12-12 10:49";
"SEDERS-MSSZZL22";"RioSaudeSEDE";"Reserva";"DELL";"FSZZL22";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"8 GB";"500 GB";"2025-10-20 15:13";"2023-12-06 14:59";
"SEDERS-MST02M22";"RioSaudeSEDE";"Reserva";"DELL";"JT02M22";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"8 GB";"500 GB";"2025-05-14 16:40";"2023-12-12 15:07";
"SEDERS-MST04M22";"RioSaudeSEDE";"Defeito";"DELL";"DT04M22";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"8 GB";"500 GB";"2024-07-02 14:19";"2023-11-29 14:07";
"SEDERS-MST07CD2";"RioSaudeSEDE";"Reserva";"DELL";"GT07CD2";"Desktop";"DELL OPTIPLEX 3040";"DGOVI";"Windows 10 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"500 GB";"2025-07-22 09:54";"2023-11-21 12:01";
"SEDERS-MST0GCD2";"RioSaudeSEDE";"Reserva";"DELL";"GT0GCD2";"Desktop";"DELL OPTIPLEX 3040";"DGOVI";"Windows 11 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"500 GB";"2025-07-01 16:27";"2023-12-04 10:17";
"SEDERS-MSZFS862";"RioSaudeSEDE";"Reserva";"DELL";"CZFS862";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"4 GB";"500 GB";"2025-06-30 15:55";"2023-12-06 14:12";
"SEDERS-MSZK0642";"RioSaudeSEDE";"Reserva";"DELL";"CZK0642";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"8 GB";"500 GB";"2025-10-20 11:51";"2023-11-23 12:26";
"SEDERS-MSZKW862";"RioSaudeSEDE";"Reserva";"DELL";"CZKW862";"Desktop";"DELL OPTIPLEX 3020";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz";"8 GB";"500 GB";"2025-05-14 16:39";"2023-12-13 11:45";
"SEDERS-NS010001";"RioSaudeSEDE";"Reserva";"Daten";"01042701010001";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2023-12-14 17:14";"2023-12-14 12:27";
"SEDERS-NS010007";"RioSaudeSEDE";"Reserva";"Daten";"01042700010007";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2024-06-14 12:14";"2023-12-14 12:44";
"SEDERS-NS010010";"RioSaudeSEDE";"Reserva";"Daten";"01042700010010";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2023-12-14 17:14";"2023-12-14 12:47";
"SEDERS-NS010011";"RioSaudeSEDE";"Em uso";"Daten";"01042700010011";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2024-06-13 14:27";"2023-12-14 12:48";
